Video Name,Date,Time,Total Count,Car Count,Truck Count,Bus Count,Motorcycle Count
lane2.mp4,2025-04-12,09:51:52,38012,33875,3268,869,0
lane2.mp4,2025-04-12,09:52:12,39897,35582,3443,872,0
lane2.mp4,2025-04-12,09:52:33,42401,37801,3708,892,0
lane3.mp4,2025-04-12,09:52:53,1102,862,92,46,102
lane3.mp4,2025-04-12,09:53:13,3031,2440,261,127,203
lane3.mp4,2025-04-12,09:53:33,5866,4855,488,245,278
lane3.mp4,2025-04-12,09:53:53,8107,6771,642,338,356
lane3.mp4,2025-04-12,09:54:13,10350,8756,768,419,407
lane3.mp4,2025-04-12,09:54:33,12635,10804,902,476,453
lane3.mp4,2025-04-12,09:54:54,14359,12343,954,537,525
lane3.mp4,2025-04-12,09:55:14,16302,13997,1013,606,686
lane3.mp4,2025-04-12,09:55:34,18063,15580,1083,674,726
lane1.mp4,2025-04-12,09:58:43,519,515,4,0,0
lane1.mp4,2025-04-12,09:59:03,937,933,4,0,0
lane1.mp4,2025-04-12,09:59:24,1422,1336,83,3,0
lane1.mp4,2025-04-12,09:59:44,1798,1690,104,4,0
lane1.mp4,2025-04-12,10:00:04,2166,2007,139,20,0
lane1.mp4,2025-04-12,10:09:03,589,585,4,0,0
lane1.mp4,2025-04-12,10:09:23,1543,1448,92,3,0
lane1.mp4,2025-04-12,10:09:44,2298,2119,158,21,0
lane1.mp4,2025-04-12,10:10:04,2714,2471,212,31,0
lane2.mp4,2025-04-12,10:10:24,504,445,31,28,0
lane1.mp4,2025-04-12,10:26:53,860,856,4,0,0
lane1.mp4,2025-04-12,10:27:13,2447,2237,182,28,0
lane1.mp4,2025-04-12,10:28:01,593,589,4,0,0
lane1.mp4,2025-04-12,10:28:22,1271,1215,53,3,0
lane1.mp4,2025-04-12,10:28:42,1872,1760,108,4,0
lane1.mp4,2025-04-12,10:29:02,2394,2190,176,28,0
lane1.mp4,2025-04-12,10:29:22,2892,2629,227,36,0
lane2.mp4,2025-04-12,10:29:42,1927,1674,146,107,0
lane2.mp4,2025-04-12,10:30:02,4501,3978,333,190,0
lane2.mp4,2025-04-12,10:30:22,7057,6285,534,238,0
lane2.mp4,2025-04-12,10:30:42,9501,8403,800,298,0
lane2.mp4,2025-04-12,10:31:03,12018,10558,1110,350,0
lane2.mp4,2025-04-12,10:31:23,14460,12633,1396,431,0
lane2.mp4,2025-04-12,10:31:43,16425,14363,1568,494,0
lane2.mp4,2025-04-12,10:32:03,18170,15813,1773,584,0
lane2.mp4,2025-04-12,10:32:23,19866,17167,2058,641,0
lane2.mp4,2025-04-12,10:32:43,21712,18631,2307,774,0
lane2.mp4,2025-04-12,10:33:03,23726,20455,2433,838,0
